Pros,0_Original,1_Lower_Punct,2_StopWords,3_Lemmatization,4_Tokens,5_PoS_Tags,VADER_Sentiment
"Top down culture, everyday everybody from CEO down to cleaner belittled or disrespected in some way.","Top down culture, everyday everybody from CEO down to cleaner belittled or disrespected in some way.",top down culture everyday everybody from ceo down to cleaner belittled or disrespected in some way,top culture everyday everybody ceo cleaner belittled disrespected way,top culture everyday everybody ceo cleaner belittled disrespected way,"['top', 'culture', 'everyday', 'everybody', 'ceo', 'cleaner', 'belittled', 'disrespected', 'way']","[('top', 'JJ'), ('culture', 'NN'), ('everyday', 'JJ'), ('everybody', 'NN'), ('ceo', 'NN'), ('cleaner', 'JJR'), ('belittled', 'VBD'), ('disrespected', 'JJ'), ('way', 'NN')]",Negative
Good work life balance and flat structure where senior management is accessible,Good work life balance and flat structure where senior management is accessible,good work life balance and flat structure where senior management is accessible,good work life balance flat structure senior management accessible,good work life balance flat structure senior management accessible,"['good', 'work', 'life', 'balance', 'flat', 'structure', 'senior', 'management', 'accessible']","[('good', 'JJ'), ('work', 'NN'), ('life', 'NN'), ('balance', 'NN'), ('flat', 'JJ'), ('structure', 'NN'), ('senior', 'JJ'), ('management', 'NN'), ('accessible', 'JJ')]",Positive
Customer Service Representative ADIB BANK,Customer Service Representative ADIB BANK,customer service representative adib bank,customer service representative adib bank,customer service representative adib bank,"['customer', 'service', 'representative', 'adib', 'bank']","[('customer', 'NN'), ('service', 'NN'), ('representative', 'JJ'), ('adib', 'NN'), ('bank', 'NN')]",Neutral
"Learning, 
good management
Exposure to new technologies","Learning, 
good management
Exposure to new technologies","learning 
good management
exposure to new technologies",learning good management exposure new technologies,learning good management exposure new technology,"['learning', 'good', 'management', 'exposure', 'new', 'technology']","[('learning', 'VBG'), ('good', 'JJ'), ('management', 'NN'), ('exposure', 'NN'), ('new', 'JJ'), ('technology', 'NN')]",Positive
Good muslimc bankheuehjehdhed is hs ei,Good muslimc bankheuehjehdhed is hs ei,good muslimc bankheuehjehdhed is hs ei,good muslimc bankheuehjehdhed hs ei,good muslimc bankheuehjehdhed h ei,"['good', 'muslimc', 'bankheuehjehdhed', 'h', 'ei']","[('good', 'JJ'), ('muslimc', 'NN'), ('bankheuehjehdhed', 'VBD'), ('h', 'NN'), ('ei', 'NN')]",Positive
Working as a full-time employee in a bank gives you all sorts of financial benefits without any charges.,Working as a full-time employee in a bank gives you all sorts of financial benefits without any charges.,working as a fulltime employee in a bank gives you all sorts of financial benefits without any charges,working fulltime employee bank gives sorts financial benefits without charges,working fulltime employee bank give sort financial benefit without charge,"['working', 'fulltime', 'employee', 'bank', 'give', 'sort', 'financial', 'benefit', 'without', 'charge']","[('working', 'VBG'), ('fulltime', 'NN'), ('employee', 'NN'), ('bank', 'NN'), ('give', 'VB'), ('sort', 'JJ'), ('financial', 'JJ'), ('benefit', 'NN'), ('without', 'IN'), ('charge', 'NN')]",Positive
"The insurance is really good and you will be eligible for personal, car and housing loans at very good rates","The insurance is really good and you will be eligible for personal, car and housing loans at very good rates",the insurance is really good and you will be eligible for personal car and housing loans at very good rates,insurance really good eligible personal car housing loans good rates,insurance really good eligible personal car housing loan good rate,"['insurance', 'really', 'good', 'eligible', 'personal', 'car', 'housing', 'loan', 'good', 'rate']","[('insurance', 'NN'), ('really', 'RB'), ('good', 'JJ'), ('eligible', 'JJ'), ('personal', 'JJ'), ('car', 'NN'), ('housing', 'NN'), ('loan', 'NN'), ('good', 'JJ'), ('rate', 'NN')]",Positive
"Good team leaders, strong training .","Good team leaders, strong training .",good team leaders strong training ,good team leaders strong training,good team leader strong training,"['good', 'team', 'leader', 'strong', 'training']","[('good', 'JJ'), ('team', 'NN'), ('leader', 'NN'), ('strong', 'JJ'), ('training', 'NN')]",Positive
"Excellent working environment, good salary","Excellent working environment, good salary",excellent working environment good salary,excellent working environment good salary,excellent working environment good salary,"['excellent', 'working', 'environment', 'good', 'salary']","[('excellent', 'JJ'), ('working', 'VBG'), ('environment', 'NN'), ('good', 'JJ'), ('salary', 'NN')]",Positive
High commission paid + friendly environment,High commission paid + friendly environment,high commission paid  friendly environment,high commission paid friendly environment,high commission paid friendly environment,"['high', 'commission', 'paid', 'friendly', 'environment']","[('high', 'JJ'), ('commission', 'NN'), ('paid', 'VBD'), ('friendly', 'JJ'), ('environment', 'NN')]",Positive
Comfortable environment at adib as usual,Comfortable environment at adib as usual,comfortable environment at adib as usual,comfortable environment adib usual,comfortable environment adib usual,"['comfortable', 'environment', 'adib', 'usual']","[('comfortable', 'JJ'), ('environment', 'NN'), ('adib', 'NN'), ('usual', 'JJ')]",Positive
Supportive environment and amazing worload,Supportive environment and amazing worload,supportive environment and amazing worload,supportive environment amazing worload,supportive environment amazing worload,"['supportive', 'environment', 'amazing', 'worload']","[('supportive', 'JJ'), ('environment', 'NN'), ('amazing', 'VBG'), ('worload', 'NN')]",Positive
Working in ADIB is good and one of the best bank in the country.,Working in ADIB is good and one of the best bank in the country.,working in adib is good and one of the best bank in the country,working adib good one best bank country,working adib good one best bank country,"['working', 'adib', 'good', 'one', 'best', 'bank', 'country']","[('working', 'VBG'), ('adib', 'RB'), ('good', 'JJ'), ('one', 'CD'), ('best', 'JJS'), ('bank', 'NN'), ('country', 'NN')]",Positive
good place to learn new things &amp; good medical insurance,good place to learn new things &amp; good medical insurance,good place to learn new things amp good medical insurance,good place learn new things amp good medical insurance,good place learn new thing amp good medical insurance,"['good', 'place', 'learn', 'new', 'thing', 'amp', 'good', 'medical', 'insurance']","[('good', 'JJ'), ('place', 'NN'), ('learn', 'VBP'), ('new', 'JJ'), ('thing', 'NN'), ('amp', 'NN'), ('good', 'JJ'), ('medical', 'JJ'), ('insurance', 'NN')]",Positive
Nothing to say but not good,Nothing to say but not good,nothing to say but not good,nothing say good,nothing say good,"['nothing', 'say', 'good']","[('nothing', 'NN'), ('say', 'VBP'), ('good', 'JJ')]",Negative
It’s the top bank in UAE,It’s the top bank in UAE,its the top bank in uae,top bank uae,top bank uae,"['top', 'bank', 'uae']","[('top', 'JJ'), ('bank', 'NN'), ('uae', 'NN')]",Positive
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
"Friendly environment 
Dynamic bank
Good reputable bank","Friendly environment 
Dynamic bank
Good reputable bank","friendly environment 
dynamic bank
good reputable bank",friendly environment dynamic bank good reputable bank,friendly environment dynamic bank good reputable bank,"['friendly', 'environment', 'dynamic', 'bank', 'good', 'reputable', 'bank']","[('friendly', 'JJ'), ('environment', 'NN'), ('dynamic', 'JJ'), ('bank', 'NN'), ('good', 'JJ'), ('reputable', 'JJ'), ('bank', 'NN')]",Positive
